         153561 function calls (150920 primitive calls) in 0.214 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
      116    0.000    0.000    0.000    0.000 inspect.py:2679(__init__)
     1088    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1088    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.005    0.005 numeric.py:1(<module>)
      360    0.000    0.000    0.000    0.000 typing.py:175(_type_convert)
      458    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      525    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      176    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
      460    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      467    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       27    0.000    0.000    0.000    0.000 {built-in method posix.lstat}
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:648(parent)
      458    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      458    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      422    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1225(__enter__)
      241    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:635(cached)
       70    0.000    0.000    0.002    0.000 typing.py:1492(copy_with)
       53    0.000    0.000    0.003    0.000 _add_newdocs.py:3381(_array_method_doc)
        1    0.000    0.000    0.000    0.000 _methods.py:1(<module>)
  630/611    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      138    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1284(find_spec)
      145    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
        4    0.000    0.000    0.000    0.000 _py_warnings.py:320(_add_filter)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      422    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1229(__exit__)
      521    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      104    0.000    0.000    0.000    0.000 typing.py:1037(_typevar_subst)
        3    0.000    0.000    0.001    0.000 enum.py:879(_convert_)
      378    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.005    0.005 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.033    0.033 multiarray.py:1(<module>)
       32    0.000    0.000    0.000    0.000 inspect.py:2971(__init__)
      165    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
       13    0.000    0.000    0.000    0.000 typing.py:1113(_generic_class_getitem)
       23    0.000    0.000    0.004    0.000 _compiler.py:757(compile)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      153    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      140    0.000    0.000    0.000    0.000 typing.py:1716(_value_and_type_iter)
        1    0.000    0.000    0.031    0.031 _linalg.py:1(<module>)
       23    0.000    0.000    0.000    0.000 _compiler.py:525(_compile_info)
        1    0.000    0.000    0.008    0.008 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 fromnumeric.py:1(<module>)
       73    0.000    0.000    0.000    0.000 pickle.py:190(<genexpr>)
      146    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:423(__exit__)
       41    0.000    0.000    0.000    0.000 dataclasses.py:825(_get_field)
       14    0.000    0.000    0.000    0.000 typing.py:1842(_get_protocol_attrs)
       13    0.000    0.000    0.000    0.000 typing.py:2128(__init_subclass__)
       27    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
       21    0.000    0.000    0.000    0.000 _compiler.py:400(_mk_bitmap)
        2    0.000    0.000    0.000    0.000 typing.py:3139(__new__)
       36    0.000    0.000    0.000    0.000 typing.py:1541(__init__)
      345    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       14    0.000    0.000    0.001    0.000 typing.py:1977(__new__)
        3    0.000    0.000    0.001    0.000 _py_warnings.py:254(filterwarnings)
       23    0.000    0.000    0.002    0.000 _parser.py:963(parse)
    97/69    0.000    0.000    0.000    0.000 annotationlib.py:1122(_get_dunder_annotations)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1131(find_spec)
       37    0.000    0.000    0.000    0.000 inspect.py:2769(_format)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.037    0.037 _index_tricks_impl.py:1(<module>)
      475    0.000    0.000    0.000    0.000 _parser.py:256(match)
      521    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        5    0.000    0.000    0.002    0.000 dataclasses.py:478(add_fns_to_class)
      231    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
    93/33    0.000    0.000    0.000    0.000 annotationlib.py:898(get_annotations)
      139    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      145    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
       50    0.000    0.000    0.006    0.000 typing.py:570(__getitem__)
      166    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      264    0.000    0.000    0.000    0.000 overrides.py:108(array_function_dispatch)
      115    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
       17    0.000    0.000    0.000    0.000 typing.py:1174(_generic_init_subclass)
      370    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      143    0.000    0.000    0.000    0.000 enum.py:676(__call__)
      109    0.000    0.000    0.000    0.000 __init__.py:28(decorator)
        5    0.000    0.000    0.000    0.000 enum.py:479(__new__)
      115    0.000    0.000    0.000    0.000 {method '__enter__' of '_io._IOBase' objects}
        1    0.000    0.000    0.004    0.004 _colorize.py:1(<module>)
     29/9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      288    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       79    0.000    0.000    0.000    0.000 {method '__typing_prepare_subst__' of 'typing.TypeVar' objects}
       63    0.000    0.000    0.000    0.000 _compiler.py:221(_compile_charset)
